City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,37.44,44,0,6.91,US,1740249012
1,bilibino,68.0546,166.4372,-34.46,99,53,1.95,RU,1740249206
2,yellowknife,62.456,-114.3525,2.41,92,100,11.5,CA,1740249207
3,wailua homesteads,22.0669,-159.378,66.99,83,0,3.44,US,1740249208
4,grytviken,-54.2811,-36.5092,45.41,87,75,3.44,GS,1740249210
5,namibe,-15.1961,12.1522,74.07,79,100,10.74,AO,1740249212
6,kodinsk,58.6881,99.1844,-10.64,100,96,1.99,RU,1740249213
7,isafjordur,66.0755,-23.124,29.03,96,100,5.77,IS,1740248928
8,waitangi,-43.9535,-176.5597,58.82,77,39,11.01,NZ,1740249216
9,hyesan,41.4017,128.1778,-7.56,99,91,0.49,KP,1740249217
10,invercargill,-46.4,168.35,54.01,94,92,3.0,NZ,1740249218
11,olonkinbyen,70.9221,-8.7187,31.03,98,100,18.41,SJ,1740249219
12,hermanus,-34.4187,19.2345,69.8,86,82,3.94,ZA,1740249220
13,aykhal,66.0,111.5,-18.04,100,65,4.45,RU,1740249221
14,bredasdorp,-34.5322,20.0403,69.04,84,0,5.95,ZA,1740249222
15,port mathurin,-19.6833,63.4167,80.44,83,73,8.75,MU,1740249224
16,albany,42.6001,-73.9662,35.29,50,100,1.99,US,1740249027
17,iqaluit,63.7506,-68.5145,6.53,77,100,5.75,CA,1740249226
18,edinburgh of the seven seas,-37.0676,-12.3116,62.8,80,21,7.23,SH,1740249227
19,mariel,22.9875,-82.7536,80.22,63,50,13.94,CU,1740249228
20,ribeira grande,38.5167,-28.7,64.8,88,40,31.0,PT,1740249229
21,amga,60.8953,131.9608,0.55,99,100,2.62,RU,1740249230
22,tofol,5.3248,163.0078,82.4,76,64,23.4,FM,1740249231
23,colonia,50.9333,6.95,55.96,78,75,9.22,DE,1740249233
24,ta`u,-14.2336,-169.5144,81.1,80,100,19.53,AS,1740249234
25,queenstown,-31.8976,26.8753,64.99,90,3,5.32,ZA,1740249235
26,yallahs,17.8748,-76.5624,89.33,62,75,12.66,JM,1740249236
27,qaqortoq,60.7167,-46.0333,19.56,79,10,2.64,GL,1740248956
28,puerto ayora,-0.7393,-90.3518,82.54,88,100,7.0,EC,1740249238
29,keflavik,64.0049,-22.5624,39.63,87,75,5.75,IS,1740249239
30,jiexiu,37.0244,111.9125,27.03,19,8,2.57,CN,1740249240
31,tayoltita,24.0833,-105.9333,88.84,13,100,6.46,MX,1740249242
32,lerwick,60.1545,-1.1494,45.9,83,7,24.52,GB,1740249218
33,ilulissat,69.2167,-51.1,14.02,85,75,3.44,GL,1740249244
34,port-aux-francais,-49.35,70.2167,44.24,95,94,25.46,TF,1740249245
35,urganch,41.55,60.6333,33.75,80,100,11.5,UZ,1740249246
36,utrik,11.2278,169.8474,79.72,73,100,17.02,MH,1740249247
37,aruppukkottai,9.5167,78.1,75.72,75,5,5.08,IN,1740249248
38,anadyr,64.75,177.4833,-21.5,76,100,6.71,RU,1740249249
39,margaret river,-33.95,115.0667,50.47,91,9,7.27,AU,1740249250
40,ushuaia,-54.8,-68.3,58.66,36,75,12.66,AR,1740249005
41,tughyl,47.7252,84.2063,3.36,93,58,2.15,KZ,1740249254
42,villa altagracia,18.673,-70.171,85.51,34,99,4.97,DO,1740249255
43,alofi,-19.0595,-169.9187,75.09,94,58,2.3,NU,1740249256
44,kagizman,40.1567,43.1342,14.68,94,100,3.87,TR,1740249259
45,berdigestyakh,62.0989,126.6992,3.94,98,100,1.7,RU,1740249198
46,flagstaff,35.1981,-111.6513,51.69,30,0,9.22,US,1740249261
47,puerto natales,-51.7236,-72.4875,61.25,29,40,35.68,CL,1740249262
48,sinabang,2.4803,96.3801,78.69,83,100,5.1,ID,1740249263
49,blackmans bay,-43.0167,147.3167,67.73,77,100,4.0,AU,1740249264
50,pisco,-13.7,-76.2167,78.85,61,0,8.05,PE,1740249265
